Controller Name:,"Cathode11109820344"
Trend Name:,"ic_conveyor_position_1"
Trend Tags:,"8"
Sample Period:,"10" ms
Description:,""
Start Trigger:,No Trigger

Stop Trigger:,No Trigger

Start Time:,2026-08-10,12:37:50;387
Stop Time:,2026-08-10,12:38:42;607
Pre-Samples:,"0"
Post-Samples:,"0"
Header:,Date,Time,"Program:Sheet_Conveyor_2\ic_conveyor_position","Program:Sheet_Conveyor_2\var_volts_velocity","Program:Sheet_Conveyor_2\oa_conveyor","Program:Sheet_Conveyor_2\i_conveyor_index","Program:Sheet_Conveyor_2\State_Accel_001.X","Program:Sheet_Conveyor_2\State_Full_Speed_001.X","Program:Sheet_Conveyor_2\State_Decel_001.X","Program:Sheet_Conveyor_2\State_Creep_In_001.X"
Data,2026-08-10,12:37:52;377,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;387,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;397,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;407,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;417,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;427,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;437,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;447,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;457,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;467,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;477,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;487,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;497,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;507,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;517,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;527,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;537,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;547,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;557,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;567,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;577,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;587,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;597,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;607,"5013","0.000000","0","0","0","0","0","0"
Data,2026-08-10,12:37:52;617,"5013","0.000000","0","0","0","0","0","0"
